control_row_id,control_season,control_player_id,control_player_name,control_team,control_position_final,times_used,avg_match_distance
625,2023,00-0036945,Justin Fields,CHI,QB,4,0.6118313030599455
867,2024,00-0038041,Jake Ferguson,DAL,TE,4,0.8209471806364471
628,2023,00-0036971,Trevor Lawrence,JAX,QB,4,0.43981577685089684
633,2023,00-0036997,Javonte Williams,DEN,RB,4,0.876516322715039
904,2024,00-0039150,Bryce Young,CAR,QB,4,0.5733703634203831
372,2022,00-0035298,Scott Miller,TB,WR,4,0.8335025195025182
196,2021,00-0036275,D'Andre Swift,DET,RB,4,0.7236273845268364
411,2022,00-0036360,Clyde Edwards-Helaire,KC,RB,4,0.7612100079971696
591,2023,00-0036223,Jonathan Taylor,IND,RB,4,0.6749809230292603
438,2022,00-0036970,Kyle Pitts,ATL,TE,4,1.0508778831752315
142,2021,00-0034816,Ronald Jones,TB,RB,4,1.2412800494921625
703,2023,00-0039165,Zach Charbonnet,SEA,RB,4,0.9606559439173206
596,2023,00-0036265,AJ Dillon,GB,RB,4,0.8573028373550255
421,2022,00-0036572,Shi Smith,CAR,WR,4,0.643532437873353
603,2023,00-0036355,Justin Herbert,LAC,QB,4,0.4347225102482014
161,2021,00-0035243,Miles Sanders,PHI,RB,4,0.8122846776237276
662,2023,00-0038102,Kenny Pickett,PIT,QB,3,1.0591486915890334
153,2021,00-0034981,Foster Moreau,LV,TE,3,0.8014354999558823
694,2023,00-0039066,Michael Mayer,LV,TE,3,0.7562846478694188
141,2021,00-0034798,Durham Smythe,MIA,TE,3,0.7113806546639091
130,2021,00-0034440,Justin Jackson,LAC,RB,3,0.4489406877975572
835,2024,00-0036971,Trevor Lawrence,JAX,QB,3,0.6212915023851598
640,2023,00-0037240,Jameson Williams,DET,WR,3,0.5247687720392097
698,2023,00-0039144,Luke Musgrave,GB,TE,3,1.0020633531315941
610,2023,00-0036550,Rashod Bateman,BAL,WR,3,0.333779813669387
164,2021,00-0035311,Myles Gaskin,MIA,RB,3,0.6070496105006871
471,2022,00-0038129,Cade Otton,TB,TE,3,0.763678790855689
363,2022,00-0034981,Foster Moreau,LV,TE,3,0.7195043128128019
433,2022,00-0036924,Michael Carter,NYJ,RB,3,0.9927249084252523
233,2021,00-0036945,Justin Fields,CHI,QB,3,0.972296896064961
227,2021,00-0036906,Khalil Herbert,CHI,RB,3,0.5797486015384541
452,2022,00-0037252,Greg Dulcich,DEN,TE,3,1.0724335092936912
454,2022,00-0037258,Dameon Pierce,HOU,RB,3,0.8774238419674537
394,2022,00-0036232,Harrison Bryant,CLE,TE,3,0.975116389120962
419,2022,00-0036554,Nico Collins,HOU,WR,3,1.0605498522944055
907,2024,00-0039164,Anthony Richardson,IND,QB,3,0.6822849791284691
382,2022,00-0035685,David Montgomery,CHI,RB,3,0.6905969246118143
197,2021,00-0036290,Cole Kmet,CHI,TE,3,0.8443308994324893
616,2023,00-0036875,Rhamondre Stevenson,NE,RB,3,0.7861190062869289
366,2022,00-0035216,Diontae Johnson,PIT,WR,3,0.5769597077838925
906,2024,00-0039163,C.J. Stroud,HOU,QB,3,0.6928621034100774
935,2024,00-0039918,Caleb Williams,CHI,QB,2,0.6424421992188598
378,2022,00-0035657,Damien Harris,NE,RB,2,0.467732522754646
396,2022,00-0036251,Zack Moss,IND,RB,2,0.498830668828673
416,2022,00-0036415,Van Jefferson,LA,WR,2,0.9451293465178086
828,2024,00-0036893,Najee Harris,PIT,RB,2,0.6095133328364359
837,2024,00-0036973,Travis Etienne,JAX,RB,2,1.2870541675865854
805,2024,00-0036261,Brandon Aiyuk,SF,WR,2,1.5345125074855757
427,2022,00-0036893,Najee Harris,PIT,RB,2,0.30291215143882616
429,2022,00-0036898,Davis Mills,HOU,QB,2,1.1216519175999338
813,2024,00-0036358,CeeDee Lamb,DAL,WR,2,0.3933574270683738
627,2023,00-0036970,Kyle Pitts,ATL,TE,2,0.35830020893492226
213,2021,00-0036422,Adam Trautman,NO,TE,2,1.3672251291734079
598,2023,00-0036290,Cole Kmet,CHI,TE,2,0.3203506302422232
619,2023,00-0036894,Pat Freiermuth,PIT,TE,2,1.306875834024954
660,2023,00-0038040,Zamir White,LV,RB,2,0.49031922616710844
370,2022,00-0035250,Devin Singletary,BUF,RB,2,0.7721777942895192
916,2024,00-0039376,Spencer Rattler,NO,QB,1,0.3816149598615923
908,2024,00-0039165,Zach Charbonnet,SEA,RB,1,0.5918670246769402
872,2024,00-0038134,Kenneth Walker III,SEA,RB,1,0.6185893047258262
85,2021,00-0033280,Christian McCaffrey,CAR,RB,1,0.8401318028890163
869,2024,00-0038120,Breece Hall,NYJ,RB,1,0.6569292068843463
840,2024,00-0036997,Javonte Williams,DEN,RB,1,1.0479060854407545
134,2021,00-0034750,Rashaad Penny,SEA,RB,1,1.117897967191954
146,2021,00-0034844,Saquon Barkley,NYG,RB,1,0.9660342342513876
147,2021,00-0034845,Sony Michel,LA,RB,1,1.0296268682825218
160,2021,00-0035229,T.J. Hockenson,DET,TE,1,0.49127794611900055
178,2021,00-0035700,Josh Jacobs,LV,RB,1,0.5324613763106122
206,2021,00-0036360,Clyde Edwards-Helaire,KC,RB,1,1.1131750100236604
225,2021,00-0036898,Davis Mills,HOU,QB,1,0.9955179616573698
235,2021,00-0036970,Kyle Pitts,ATL,TE,1,0.2855039729614214
354,2022,00-0034796,Lamar Jackson,BAL,QB,1,0.5015248907895216
361,2022,00-0034869,Sam Darnold,CAR,QB,1,1.2055018519729948
426,2022,00-0036876,Kylen Granson,IND,TE,1,0.758839253028395
462,2022,00-0037755,Jelani Woods,IND,TE,1,1.298728557109569
466,2022,00-0037838,Isaiah Likely,BAL,TE,1,0.6335573345749946
579,2023,00-0035644,Noah Fant,SEA,TE,1,1.1836368461562035
621,2023,00-0036906,Khalil Herbert,CHI,RB,1,0.9999451090131879
635,2023,00-0037077,Sam Howell,WAS,QB,1,0.6124739377325478
652,2023,00-0037741,Jahan Dotson,WAS,WR,1,0.936238693085308
663,2023,00-0038108,Bailey Zappe,NE,QB,1,0.47992105171259114
666,2023,00-0038122,Desmond Ridder,ATL,QB,1,0.9974262546141979
701,2023,00-0039152,Will Levis,TEN,QB,1,1.2098271290804155
836,2024,00-0036972,Mac Jones,JAX,QB,1,0.5179575272162767
468,2022,00-0038104,Tyquan Thornton,NE,WR,1,0.9644200403833921
